Date,Visits,MUSEUM
10-13-2016,681.00,BMAG
10-14-2016,674.00,BMAG
10-15-2016,1818.00,BMAG
10-16-2016,1125.00,BMAG
10-17-2016,757.00,BMAG
10-18-2016,520.00,BMAG
10-19-2016,451.00,BMAG
10-20-2016,521.00,BMAG
10-21-2016,687.00,BMAG
10-22-2016,1168.00,BMAG
10-23-2016,1413.00,BMAG
10-24-2016,1897.00,BMAG
10-25-2016,1813.00,BMAG
10-26-2016,1596.00,BMAG
10-27-2016,1445.00,BMAG
10-28-2016,1366.00,BMAG
10-29-2016,1299.00,BMAG
10-30-2016,2485.00,BMAG
10-31-2016,501.00,BMAG
11-01-2016,571.00,BMAG
11-02-2016,548.00,BMAG
11-03-2016,382.00,BMAG
11-04-2016,471.00,BMAG
11-05-2016,1467.00,BMAG
11-06-2016,872.00,BMAG
11-07-2016,533.00,BMAG
11-08-2016,505.00,BMAG
11-09-2016,825.00,BMAG
11-10-2016,401.00,BMAG
11-11-2016,718.00,BMAG
11-12-2016,2283.00,BMAG
11-13-2016,1465.00,BMAG
11-14-2016,588.00,BMAG
11-15-2016,584.00,BMAG
11-16-2016,553.00,BMAG
11-17-2016,1479.00,BMAG
11-18-2016,745.00,BMAG
11-19-2016,1238.00,BMAG
11-20-2016,1435.00,BMAG
11-21-2016,490.00,BMAG
11-22-2016,535.00,BMAG
11-23-2016,864.00,BMAG
11-24-2016,659.00,BMAG
11-25-2016,840.00,BMAG
11-26-2016,1757.00,BMAG
11-27-2016,1043.00,BMAG
11-28-2016,510.00,BMAG
11-29-2016,751.00,BMAG
11-30-2016,598.00,BMAG
