name,type,asset_type,Name,asset_no,label_location,label_notes,serial_no,model_no,location,description
directional speaker (HSS Directional Audio) 00235,equipment,directional speaker,HSS Directional Audio,235,back,,e33615,HSS-3000 Emitter,mshed AV Store 1st Floor,
directional speaker (HSS Directional Audio) 00236,equipment,directional speaker,HSS Directional Audio,236,back,,e32865,HSS-3000 Emitter,mshed AV Store 1st Floor,
directional speaker (HSS Directional Audio) 00237,equipment,directional speaker,HSS Directional Audio,237,back,,e32844,HSS-3000 Emitter,mshed AV Store 1st Floor,
directional speaker (HSS Directional Audio) 00238,equipment,directional speaker,HSS Directional Audio,238,back,,e37679,HSS-3000 Emitter,mshed AV Store 1st Floor,
Amplifier (HSS-3000 Amplifier) 00013,equipment,Amplifier,HSS-3000 Amplifier,13,Front,,H15612,10-0101 -00-00,BMAG AV STORE,Only works with HSS-3000 directional speakers
Amplifier (HSS-3000 Amplifier) 00014,equipment,Amplifier,HSS-3000 Amplifier,14,Front,,H15350,10-0101 -00-00,BMAG AV STORE,Only works with HSS-3000 directional speakers
Speaker (HSS-3000 Emitter) 00015,equipment,Speaker,HSS-3000 Emitter,15,Back,,E33126,10-0001-00-00,BMAG AV STORE,Directional speaker only works with HSS-3000 amplifier
Speaker (HSS-3000 Emitter) 00016,equipment,Speaker,HSS-3000 Emitter,16,Back,,E33616,10-0001-00-00,BMAG AV STORE,Directional speaker only works with HSS-3000 amplifier
Speaker (HSSIII) 00020,equipment,Speaker,HSSIII,20,Back,,XL130AM02862,SB1-SUBWOOFER,BMAG AV STORE,
Speaker (HSSIII) 00021,equipment,Speaker,HSSIII,21,Back,,XL130AM09788,SB1-SUBWOOFER,BMAG AV STORE,
Screen (Nix) 00028,equipment,Screen,Nix,28,Back,,None,XO8D Digital picture frame,BMAG AV STORE,"8 inch low res, 4:3"
Screen (Nix) 00029,equipment,Screen,Nix,29,Back,,None,XO8D Digital picture frame,BMAG AV STORE,"9 inch low res, 4:3"
Screen (Nix) 00030,equipment,Screen,Nix,30,Back,,None,XO8D Digital picture frame,BMAG AV STORE,"10 inch low res, 4:3"
