date,count,museum,gallery,,,,
8/24/2016,296,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
8/25/2016,269,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
8/26/2016,273,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
8/27/2016,473,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
8/28/2016,503,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
8/29/2016,464,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
8/30/2016,270,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
8/31/2016,266,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/1/2016,239,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/2/2016,338,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/3/2016,454,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/4/2016,346,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/5/2016,2,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/6/2016,91,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/7/2016,256,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/8/2016,147,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/9/2016,108,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/10/2016,280,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/11/2016,319,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/12/2016,0,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/13/2016,61,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/14/2016,76,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/15/2016,67,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/16/2016,103,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/17/2016,399,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/18/2016,284,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/19/2016,0,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/20/2016,120,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/21/2016,101,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
9/22/2016,59,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
