Variant ID,Product Handle,Title,Quantity,SKU,Number Sold,Price,Cost Price,Product Type,Vendor
26406325445,the-design-book,The Design Book - Default Title,5,9780714865799,10,12.95,7.1225,Books,Heritage Books
26406325509,william-morris-the-designs-of-5-95,The Designs of William Morris - Default Title,5,9780714834658,25,5.95,3.2725,Books,Heritage Books
7194185039923,diary-of-frida-kahlo,The Diary of Frida Kahlo: An Intimate Self-Portrait - Default Title,7,60238172,4,15.99,0.0,Books,Heritage Books
7160746541107,the-dressing-room-no-3,The Dressing Room no. 3 - Default Title,12,RLK2176,12,2.75,0.0,Stationary and Greeting cards,ArtPress
28453189189,the-entrance-to-the-village,The Entrance to the Village - Default Title,126,"",124,0.70,0.18,Stationary and Greeting cards,Customworks
28453616261,theentrance-to-the-village-greetings-card,The Entrance to the Village Greetings Card - Default Title,210,"",15,2.50,0.7,Stationary and Greeting cards,Customworks
649721872389,bf-the-fashion-book-1,The Fashion Book - Default Title,4,"",0,12.50,0.0,Books,Christmas Sale
26406325573,the-fashion-book,The Fashion Book - Default Title,3,9780714867977,18,7.95,4.3725,Books,Heritage Books
32383724613,the-fashion-book-1,The Fashion Book - Default Title,3,"",3,24.95,0.0,Books,Heritage Books
26408253061,the-feathered-cup-card-4wpa-2,The Feathered Cup Card 4WPA/2 - Default Title,13,"",12,2.25,0.94,Stationary and Greeting cards,Canns Down Press Ltd
26408862021,the-ferry-i,The Ferry I - Default Title,5,CC1501,14,2.50,0.95,Stationary and Greeting cards,Art Angels
26407734149,the-fisherman-and-the-syren-magnet,The Fisherman and the Syren Magnet - Default Title,32,BOBBRI009,36,3.00,0.9,Bespoke,Customworks
26407734277,the-fisherman-and-the-syren-notecard,The Fisherman and the Syren Notecard - Default Title,87,BNCBRI009,26,2.50,0.8,Bespoke,Customworks
26407734341,the-fisherman-and-the-syren-postcard,The Fisherman and the Syren Postcard - Default Title,263,BPCBRI009,343,0.70,0.21,Bespoke,Customworks
1230178320389,the-flora-of-the-bristol-region,The Flora of the Bristol Region - Default Title,4,1-874357-18-8,0,19.50,0.0,"",BRERC
7193628147763,the-fossil-girl,The Fossil Girl - Default Title,7,60238172,7,6.99,0.0,Books,Heritage Books
26406481989,the-fun-dough-box,The Fun Dough Box - Default Title,0,1,27,2.50,0.85,Kids,Emblem
26407734597,the-garden-court-card,The Garden Court Greeting Card - Default Title,76,BGCBR!51,22,2.50,0.8,Bespoke,Customworks
26407757893,the-garden-court-greeting-card,The Garden Court Greeting Card - Default Title,120,BGCBR!51,8,2.50,0.8,Bespoke,Customworks
26407757957,the-garden-court-postcard,The Garden Court Postcard - Default Title,374,BPCBRI51,292,0.70,0.21,Bespoke,Customworks
40063483205,the-good-immigrant-1,The Good Immigrant - Default Title,7,9781783523955,31,8.99,4.94,Books,Heritage Books
29270000709,grand-tour,The Grand Tour. Traveling the World with an Architects Eye - Default Title,5,9783836544603,9,15.00,0.0,Books,Heritage Books
26408253445,the-greenhouse-cdp-15a-8,The Greenhouse CDP 15A/8 - Default Title,13,"",19,2.25,0.94,Stationary and Greeting cards,Canns Down Press Ltd
26406325637,the-gruffalo,The Gruffalo - Default Title,2,9781509804757,15,6.99,3.8445,Books,Heritage Books
7464370962483,the-hands-postcard,The Hands Postcard - Default Title,228,BPCBR1066,22,0.70,0.25,Bespoke,Customworks
7228025045043,the-immortal-life-of-henrietta-lacks,The Immortal Life of Henrietta Lacks - Default Title,4,9780330533447,7,8.99,0.0,Books,Heritage Books
972112429061,the-little-book-of-hygge,The Little Book Of Hygge - Default Title,2,978-0241233912,18,9.99,0.0,Books,Heritage Books
26407735109,the-mackerel-shaw-greetings-card,The Mackerel Shaw Greetings Card - Default Title,58,"",50,2.50,0.8,Stationary and Greeting cards,Customworks
26405244549,the-mackerel-shawl,The Mackerel Shawl by Algeron Talmage - Print - Default Title,14,PPBR04MACKE,36,5.00,1.75,Bespoke,King and Mcgaw
26407735237,the-mackerel-shawl-magnet,The Mackerel Shawl Magnet - Default Title,44,BOBBRI003,26,3.00,0.9,Bespoke,Customworks
26407735301,the-mackerel-shawl-postcard,The Mackerel Shawl Postcard - Default Title,509,BPCBRI003,311,0.70,0.21,Bespoke,Customworks
6959226748979,the-matthew-coaster-by-alice-rolfe,The Matthew Coaster by Alice Rolfe - Default Title,1,ARI-CC23,0,4.00,0.0,Home,Online from M Shed
6959255650355,the-matthew-greeting-card-by-alice-rolfe,The Matthew Greeting Card by Alice Rolfe - Default Title,1,ARI-G22,0,2.75,0.0,Stationary and Greeting cards,Online from M Shed
6959311552563,the-matthew-mug-by-alice-rolfe,The Matthew Mug by Alice Rolfe - Default Title,1,ARI-M46,0,13.00,0.0,Home,Online from M Shed
6959374860339,the-matthew-placemat-by-alice-rolfe,The Matthew Placemat by Alice Rolfe - Default Title,1,ARI-PM17,0,12.50,0.0,Home,Online from M Shed
6959466250291,the-matthew-print-by-alice-rolfe,The Matthew Print by Alice Rolfe - Default Title,1,ARI-P17,0,20.00,0.0,Prints,Online from M Shed
26406325765,the-modern-man-guide,The Modern Man Guide - Default Title,3,9781925418118,5,10.99,6.0445,Books,Heritage Books
26406301189,the-naked-guide-to-bristol,The Naked Guide to Bristol - Default Title,0,9781910089149,0,11.99,7.49,Books,Tangent Books
39846670213,the-naked-guide-to-bristol-6th-edition,The Naked Guide to Bristol 6th Edition - Default Title,10,9781910089644,35,12.99,0.0,Books,Tangent Books
33066692997,the-nature-timeline-wallbook,The Nature Timeline Stickerbook - Default Title,0,"",49,6.99,3.84,Books,Heritage Books
26408254021,beautiful-baby-card-64wpb,The New Baby Card 64WPB - Default Title,12,64WPB,84,2.25,0.94,Stationary and Greeting cards,Canns Down Press Ltd
29269999941,the-north-american-indian-the-complete-portfolios,The North American Indian: The Complete Portfolios - Default Title,1,9783836550567,29,15.00,8.25,Books,Heritage Books
7464288190515,the-owl-and-the-pussycat-postcard,The Owl and the Pussycat Postcard - Default Title,433,BPCBR1063,67,0.70,0.21,Bespoke,Customworks
26408254597,the-owls-bore-the-farm-away-cdp-150b,The Owls Bore the Farm Away CDP 150B - Default Title,13,150B,35,2.25,0.94,Stationary and Greeting cards,Canns Down Press Ltd
26406325957,the-pre-raphelite-vision-mini-book,The pre-Raphaelite vision mini book - Default Title,3,9780714832524,14,5.95,3.2725,Books,Heritage Books
26406326021,the-pre-raphaelites-from-rossetti-to-ruskin-14-99,The Pre-Raphaelites from Rossetti to Ruskin - Default Title,5,9780141192406,1,14.99,8.2445,Books,Heritage Books
28453660741,the-rialto-bridge-greetings-card,The Rialto Bridge Greetings Card - Default Title,139,"",11,2.50,0.7,Stationary and Greeting cards,Customworks
28453367045,the-rialto-bridge,The Rialto Bridge Postcard - Default Title,68,"",132,0.70,0.18,Stationary and Greeting cards,Customworks
